"MetricLabel","Definition","Formula","Dimension"
"Attribute Completeness (C_Aj)","The completeness of a specific attribute, defined as the ratio of present values for that attribute to the total number of records.","C_Aj = (Σᵢ₌₁ᴺ I_ij) / N","Completeness"
"Record Completeness (C_Ri)","The completeness of a specific record, measured as the ratio of present values for required attributes in that record to the total number of required attributes (K).","C_Ri = (Σ_{j ∈ Required_Attributes} I_ij) / K","Completeness"
"Dataset Completeness (C_D)","The overall completeness of the dataset — the average attribute completeness or total proportion of non-missing values across all N records and M_req required attributes.","C_D = (Σⱼ₌₁^{M_req} Σᵢ₌₁ᴺ I_ij) / (N × M_req)","Completeness"
"Source Consistency Error (SCE_MAE)","Measures reliability of a single source over N observations as the Mean Absolute Error between observed values and expected/reference values.","SCE_MAE = (1/N) Σᵢ₌₁ᴺ |Xᵢ − Eᵢ|","Reliability"
"Temporal Stability (TS_CV)","Measures how much the data fluctuates relative to its average value over a defined time window, using the coefficient of variation. Lower CV indicates higher temporal stability.","TS_CV = (σ_χ / μ_χ) × 100","Reliability"
"Record Redundancy Ratio (RRR)","The proportion of the dataset that consists of duplicate records, based on a defined set of key attributes.","RRR = ((N − N_unique) / N) × 100","Redundancy"
"Duplicate Count (DC)","The absolute number of duplicate records in a dataset.","DC = N − N_unique","Redundancy"
"Attribute-Level Redundancy","Focuses on the storage of derivable data (e.g., storing both Date of Birth and Age is redundant since one can be derived from the other). Identified via schema analysis and data lineage.","N/A — identified through schema analysis and data lineage rather than a single universal formula","Redundancy"
"Error Rate","The proportion of values that are incorrect (do not match true reference values).","Error Rate = ((N − N_correct) / N) × 100","Accuracy"
"Accuracy Rate","The proportion of values that are correct (match true reference values).","Accuracy Rate = (N_correct / N) × 100","Accuracy"
"Mean Absolute Error (MAE)","The average magnitude of the errors between data values and their corresponding true values (for numerical data).","MAE = (1/N) Σᵢ₌₁ᴺ |V_data,i − V_true,i|","Accuracy"
"Mean Squared Error (MSE)","The average of the squared errors; more sensitive to large errors than MAE.","MSE = (1/N) Σᵢ₌₁ᴺ (V_data,i − V_true,i)²","Accuracy"
"Root Mean Squared Error (RMSE)","The square root of the MSE, expressed in the same units as the original data.","RMSE = √MSE","Accuracy"
"Data Latency (L)","The absolute time delay for a single data point/record between the real-world event and its availability in the target system.","L = T_available − T_event","Timeliness"
"Average Latency (L_avg)","The mean latency across N records over a specific period.","L_avg = (1/N) Σᵢ₌₁ᴺ Lᵢ","Timeliness"
"Timeliness Compliance Rate (TCR)","The proportion of data records that meet the specified latency SLA (i.e., records where L ≤ SLA_threshold).","TCR = (N_on-time / N) × 100%","Timeliness"
"Data Freshness (F)","For datasets requiring periodic updates, measures time elapsed since the last update relative to the expected update frequency. F ≤ 1 indicates fresh data.","F = (T_current − T_last_update) / FI","Timeliness"
"Consistency Violation Rate (CVR)","The overall rate of consistency violations across all checks performed.","CVR = (Number of consistency violations detected / Total number of checks performed) × 100%","Consistency (Overall)"
"Consistency Score (CS)","The overall consistency of the dataset, complementary to CVR.","CS = 100% − CVR","Consistency (Overall)"
"Format Consistency Rate (FCR)","Proportion of values adhering to the defined format.","FCR = (Number of values adhering to defined format / Total number of values checked) × 100%","Consistency — Intra-Dataset"
"Logical Consistency Rate (LCR)","Proportion of records satisfying defined logical rules.","LCR = (Number of records satisfying logical rules / Total records checked) × 100%","Consistency — Intra-Dataset"
"Calculation Consistency Rate (CCR)","Proportion of calculations that are correct.","CCR = (Number of correct calculations / Total calculations checked) × 100%","Consistency — Intra-Dataset"
"Referential Integrity Consistency Rate (RICR)","Proportion of valid foreign key relationships across datasets.","RICR = (Number of valid foreign key relationships / Total foreign key relationships) × 100%","Consistency — Inter-Dataset"
"Business Rule Consistency Rate (BRCR)","Proportion of records compliant with defined business rules.","BRCR = (Number of business rule compliant records / Total records checked) × 100%","Consistency — Inter-Dataset"
"Data Synchronization Rate (DSR)","Proportion of matching values across different systems.","DSR = (Number of matching values across systems / Total values compared) × 100%","Consistency — Cross-System"
"Master Data Alignment Rate (MDAR)","Proportion of aligned master data records across systems.","MDAR = (Number of aligned master data records / Total master data records) × 100%","Consistency — Cross-System"
"Integrity Score","A composite metric based on completeness, accuracy, and consistency dimensions. Scores range from 0% (poor integrity) to 100% (perfect integrity). Equal weighting is assumed but weights can be adjusted per domain.","Integrity Score = ((Completeness + Accuracy + Consistency) / 3) × 100%","Integrity"
"Completeness Sub-Score (Integrity component)","Sub-metric feeding into the Integrity Score composite.","Number of non-missing values / Total expected values","Integrity"
"Accuracy Sub-Score (Integrity component)","Sub-metric feeding into the Integrity Score composite. Counts values within expected ranges or formats.","Number of valid values / Total values","Integrity"
"Consistency Sub-Score (Integrity component)","Sub-metric feeding into the Integrity Score composite. Counts records adhering to business rules (e.g., no duplicates, referential integrity).","Number of records adhering to business rules / Total records","Integrity"
